country	year	pop
Afghanistan	1950	8150368
Afghanistan	1951	8284473
Afghanistan	1952	8425333
Afghanistan	1953	8573217
Afghanistan	1954	8728408
Afghanistan	1955	8891209
Afghanistan	1956	9061938
Afghanistan	1957	9240934
Afghanistan	1958	9428556
Afghanistan	1959	9624606
Afghanistan	1960	9829450
Afghanistan	1961	10043473
Afghanistan	1962	10267083
Afghanistan	1963	10500711
Afghanistan	1964	10744167
Afghanistan	1965	10997885
Afghanistan	1966	11262324
Afghanistan	1967	11537966
Afghanistan	1968	11825320
Afghanistan	1969	12122740
Afghanistan	1970	12430623
Afghanistan	1971	12749385
Afghanistan	1972	13079460
Afghanistan	1973	13421301
Afghanistan	1974	13772076
Afghanistan	1975	14132019
Afghanistan	1976	14501369
Afghanistan	1977	14880372
Afghanistan	1978	15269281
Afghanistan	1979	15555612
Afghanistan	1980	15112149
Afghanistan	1981	13812973
Afghanistan	1982	12881816
Afghanistan	1983	12934937
Afghanistan	1984	13387737
Afghanistan	1985	13796928
Afghanistan	1986	13856100
Afghanistan	1987	13867957
Afghanistan	1988	14076478
Afghanistan	1989	14511868
Afghanistan	1990	14669339
Afghanistan	1991	14871963
Afghanistan	1992	16317921
Afghanistan	1993	18371583
Afghanistan	1994	19900668
Afghanistan	1995	20881480
Afghanistan	1996	21559923
Afghanistan	1997	22227415
Afghanistan	1998	22912814
Afghanistan	1999	23646128
Afghanistan	2000	23898198
Afghanistan	2001	23997412
Afghanistan	2002	25268405
Afghanistan	2003	27060359
Afghanistan	2004	28513677
Afghanistan	2005	29928987
Afghanistan	2006	31056997
Afghanistan	2007	31889923
Afghanistan	2008	32738376
Akrotiri and Dhekelia	2005	15700
Akrotiri and Dhekelia	2008	15700
Albania	1950	1227156
Albania	1951	1254119
Albania	1952	1282697
Albania	1953	1314608
Albania	1954	1352982
Albania	1955	1392164
Albania	1956	1434476
Albania	1957	1476505
Albania	1958	1521417
Albania	1959	1571329
Albania	1960	1623114
Albania	1961	1676635
Albania	1962	1728137
Albania	1963	1779715
Albania	1964	1832284
Albania	1965	1883652
Albania	1966	1932963
Albania	1967	1984060
Albania	1968	2038698
Albania	1969	2100263
Albania	1970	2156612
Albania	1971	2208719
Albania	1972	2263554
Albania	1973	2295691
Albania	1974	2347924
Albania	1975	2401108
Albania	1976	2454824
Albania	1977	2509048
Albania	1978	2563376
Albania	1979	2617679
Albania	1980	2671412
Albania	1981	2724272
Albania	1982	2780097
Albania	1983	2837315
Albania	1984	2895998
Albania	1985	2956697
Albania	1986	3015438
Albania	1987	3075321
Albania	1988	3136843
Albania	1989	3195800
Albania	1990	3250778
Albania	1991	3294227
Albania	1992	3326498
Albania	1993	3351656
Albania	1994	3378424
Albania	1995	3400516
Albania	1996	3414733
Albania	1997	3428038
Albania	1998	3441234
Albania	1999	3457493
Albania	2000	3473835
Albania	2001	3490304
Albania	2002	3508512
Albania	2003	3526642
Albania	2004	3544808
Albania	2005	3563112
Albania	2006	3581655
