country	gdpPercap	year
Afghanistan	757.3187954	1950
Albania	1532.353932	1950
Algeria	2429.213704	1950
American Samoa	4465.14474	1950
Angola	3363.021769	1950
Argentina	6252.858599	1950
Armenia	2241.721142	1950
Australia	10031.12138	1950
Austria	5733.098114	1950
Azerbaijan	2854.145999	1950
Bahamas	9611.615686	1950
Bahrain	9158.26528	1950
Bangladesh	673.3711492	1950
Barbados	3245.072989	1950
Belarus	3197.981496	1950
Belgium	7990.46584	1950
Belize	1731.132728	1950
Benin	1104.46653	1950
Bermuda	15223.63357	1950
Bhutan	683.4985252	1950
Bolivia	2530.595066	1950
Bosnia and Herzegovina	1042.495709	1950
Botswana	825.2511804	1950
Brazil	1979.813903	1950
Brunei	35554.3601	1950
Bulgaria	2131.563149	1950
Burkina Faso	515.7078544	1950
Burundi	322.2297169	1950
Cambodia	352.0250734	1950
Cameroon	1117.965667	1950
Canada	10581.26552	1950
Cape Verde	579.933829	1950
Central African Rep.	1021.785751	1950
Chad	1127.838005	1950
Chile	3713.996032	1950
China	418.4240826	1950
Colombia	2087.94942	1950
Comoros	1052.099217	1950
Congo, Dem. Rep.	665.3831432	1950
Congo, Rep.	2045.705876	1950
Costa Rica	2439.821535	1950
Cote d'Ivoire	1344.432156	1950
Croatia	3340.194978	1950
Cuba	5180.436272	1950
Cyprus	2920.872424	1950
Czech Rep.	6690.749648	1950
Denmark	9675.477458	1950
Djibouti	2576.101385	1950
Dominica	2193.919703	1950
Dominican Rep.	1224.059952	1950
Ecuador	3266.234573	1950
Egypt	1434.397308	1950
El Salvador	2928.377832	1950
Equatorial Guinea	354.7677624	1950
Eritrea	321.6243826	1950
Estonia	4042.44796	1950
Ethiopia	354.0915556	1950
Finland	5845.626316	1950
France	6595.926631	1950
French Guiana	2612.056795	1950
French Polynesia	6931.994766	1950
Gabon	4041.338091	1950
Gambia	466.411137	1950
Germany	6090.034207	1950
Ghana	943.1005364	1950
Greece	3293.034773	1950
Grenada	1320.460114	1950
Guadeloupe	2426.20469	1950
Guatemala	2485.787385	1950
Guinea	481.0010939	1950
Guinea-Bissau	268.5349915	1950
Guyana	2903.518147	1950
Haiti	1774.192853	1950
Honduras	2125.555151	1950
Hong Kong, China	2849.884747	1950
Hungary	4726.19128	1950
Iceland	7750.291535	1950
India	537.5111823	1950
Indonesia	704.3545726	1950
Iran	3205.082573	1950
Iraq	3588.115836	1950
Ireland	4939.17646	1950
Isle of Man	5531.950797	1950
Israel	3800.925233	1950
Italy	4461.067193	1950
Jamaica	2556.816762	1950
Japan	2644.585447	1950
Jordan	1490.667614	1950
Kazakhstan	2609.216411	1950
Kenya	832.2712517	1950
Korea, Dem. Rep.	1234.173782	1950
Korea, Rep.	1053.559291	1950
Kuwait	104248.0536	1950
Kyrgyzstan	1694.210586	1950
Laos	773.424819	1950
Lebanon	5318.454441	1950
Lesotho	282.9498651	1950
Liberia	553.438512	1950
Libya	2084.283473	1950
Lithuania	4409.943229	1950
Luxembourg	14554.95629	1950
Macao, China	2170.046337	1950
Macedonia, FYR	2040.945293	1950
Madagascar	1383.728536	1950
Malawi	352.4694804	1950
Malaysia	1940.394573	1950
Maldives	457.0386204	1950
Mali	437.9529388	1950
Malta	1525.795401	1950
Martinique	3009.888416	1950
Mauritania	702.9300201	1950
Mauritius	1937.837881	1950
Mexico	3293.777163	1950
Moldova	2752.304469	1950
Mongolia	741.129463	1950
