country	year	pop	gdpPercap	continent	lifeExp
Afghanistan	1952	8425333	779.4453145	Asia	28.801
Afghanistan	1957	9240934	820.8530296	Asia	30.332
Afghanistan	1962	10267083	853.10071	Asia	31.997
Afghanistan	1967	11537966	836.1971382	Asia	34.02
Afghanistan	1972	13079460	739.9811058	Asia	36.088
Afghanistan	1977	14880372	786.11336	Asia	38.438
Afghanistan	1982	12881816	978.0114388	Asia	39.854
Afghanistan	1987	13867957	852.3959448	Asia	40.822
Afghanistan	1992	16317921	649.3413952	Asia	41.674
Afghanistan	1997	22227415	635.341351	Asia	41.763
Afghanistan	2002	25268405	726.7340548	Asia	42.129
Afghanistan	2007	31889923	974.5803384	Asia	43.828
Albania	1952	1282697	1601.056136	Europe	55.23
Albania	1957	1476505	1942.284244	Europe	59.28
Albania	1962	1728137	2312.888958	Europe	64.82
Albania	1967	1984060	2760.196931	Europe	66.22
Albania	1972	2263554	3313.422188	Europe	67.69
Albania	1977	2509048	3533.00391	Europe	68.93
Albania	1982	2780097	3630.880722	Europe	70.42
Albania	1987	3075321	3738.932735	Europe	72
Albania	1992	3326498	2497.437901	Europe	71.581
Albania	1997	3428038	3193.054604	Europe	72.95
Albania	2002	3508512	4604.211737	Europe	75.651
Albania	2007	3600523	5937.029526	Europe	76.423
Algeria	1952	9279525	2449.008185	Africa	43.077
Algeria	1957	10270856	3013.976023	Africa	45.685
Algeria	1962	11000948	2550.81688	Africa	48.303
Algeria	1967	12760499	3246.991771	Africa	51.407
Algeria	1972	14760787	4182.663766	Africa	54.518
Algeria	1977	17152804	4910.416756	Africa	58.014
Algeria	1982	20033753	5745.160213	Africa	61.368
Algeria	1987	23254956	5681.358539	Africa	65.799
Algeria	1992	26298373	5023.216647	Africa	67.744
Algeria	1997	29072015	4797.295051	Africa	69.152
Algeria	2002	31287142	5288.040382	Africa	70.994
Algeria	2007	33333216	6223.367465	Africa	72.301
Angola	1952	4232095	3520.610273	Africa	30.015
Angola	1957	4561361	3827.940465	Africa	31.999
Angola	1962	4826015	4269.276742	Africa	34
Angola	1967	5247469	5522.776375	Africa	35.985
Angola	1972	5894858	5473.288005	Africa	37.928
Angola	1977	6162675	3008.647355	Africa	39.483
Angola	1982	7016384	2756.953672	Africa	39.942
Angola	1987	7874230	2430.208311	Africa	39.906
Angola	1992	8735988	2627.845685	Africa	40.647
Angola	1997	9875024	2277.140884	Africa	40.963
Angola	2002	10866106	2773.287312	Africa	41.003
Angola	2007	12420476	4797.231267	Africa	42.731
Argentina	1952	17876956	5911.315053	Americas	62.485
Argentina	1957	19610538	6856.856212	Americas	64.399
Argentina	1962	21283783	7133.166023	Americas	65.142
Argentina	1967	22934225	8052.953021	Americas	65.634
Argentina	1972	24779799	9443.038526	Americas	67.065
Argentina	1977	26983828	10079.02674	Americas	68.481
Argentina	1982	29341374	8997.897412	Americas	69.942
Argentina	1987	31620918	9139.671389	Americas	70.774
Argentina	1992	33958947	9308.41871	Americas	71.868
Argentina	1997	36203463	10967.28195	Americas	73.275
Argentina	2002	38331121	8797.640716	Americas	74.34
Argentina	2007	40301927	12779.37964	Americas	75.32
Armenia	1992	3378331	1442.937796		68.663
Armenia	1997	3059000	1791.34719		70.377
Armenia	2002	3013818	2692.304039		71.403
Armenia	2007	2971650	4942.543911		71.965
Aruba	1972	59461	4939.758007		70.941
Aruba	1977	59412	7390.359942		71.83
Aruba	1982	61569	10874.91495		74.116
Aruba	1987	65415	17674.3389		74.494
Aruba	1992	67174	25120.54961		74.108
Aruba	1997	68341	26483.66862		73.011
Aruba	2002	70441	26467.87062		73.451
Aruba	2007	72194	27230.67521		74.239
Australia	1950	8267337	10031.12138		69.02
Australia	1951	8510600	10160.73672		68.72
Australia	1952	8691212	10039.59564		69.12
Australia	1953	8857924	10157.91298		69.7
Australia	1954	9064017	10544.08738		69.85
Australia	1955	9277087	10864.61774		70.17
Australia	1956	9500606	10974.12837		70.05
Australia	1957	9712569	10949.64959		70.33
Australia	1958	9915267	11240.95886		70.88
Australia	1959	10131729	11678.07069		70.45
Australia	1960	10361273	11897.96372		70.89
Australia	1961	10598814	11711.50002		71.16
Australia	1962	10794968	12217.22686		70.93
Australia	1963	11001483	12722.21702		70.99
Australia	1964	11218304	13329.89726		70.65
Australia	1965	11439384	13739.92688		70.98
Australia	1966	11655083	13860.95806		70.82
Australia	1967	11872264	14526.12465		71.1
Australia	1968	12101660	15088.55836		70.73
Australia	1969	12379384	15647.10938		71.14
Australia	1970	12660160	16273.14214		70.81
Australia	1971	12937200	16633.1259		71.41
Australia	1972	13177000	16788.62948		71.93
Australia	1973	13380400	17429.71805		72.14
Australia	1974	13599100	17574.58167		71.89
Australia	1975	13771400	17824.57038		72.84
Australia	1976	13915500	18351.06793		72.88
Australia	1977	14074100	18334.19751		73.49
Australia	1978	14248600	18635.0381		73.88
Australia	1979	14421900	19380.63562		74.44
Australia	1980	14615900	19505.55452		74.6
Australia	1981	14923260	19841.87946		74.97
Australia	1982	15184200	19477.00928		74.74
Australia	1983	15393500	19214.56115		75.55
Australia	1984	15579400	20295.25294		76.02
Australia	1985	15788300	21040.4946		75.46
Australia	1986	16018350	21168.81051		76.13
Australia	1987	16257249	21888.88903		76.32
Australia	1988	16520206	22508.19078		76.36
