country	year	pop	gdpPercap	lifeExp	continent
Afghanistan	1952	8425333	779.4453145	28.801	Asia
Afghanistan	1957	9240934	820.8530296	30.332	Asia
Afghanistan	1962	10267083	853.10071	31.997	Asia
Afghanistan	1967	11537966	836.1971382	34.02	Asia
Afghanistan	1972	13079460	739.9811058	36.088	Asia
Afghanistan	1977	14880372	786.11336	38.438	Asia
Afghanistan	1982	12881816	978.0114388	39.854	Asia
Afghanistan	1987	13867957	852.3959448	40.822	Asia
Afghanistan	1992	16317921	649.3413952	41.674	Asia
Afghanistan	1997	22227415	635.341351	41.763	Asia
Afghanistan	2002	25268405	726.7340548	42.129	Asia
Afghanistan	2007	31889923	974.5803384	43.828	Asia
Albania	1952	1282697	1601.056136	55.23	Europe
Albania	1957	1476505	1942.284244	59.28	Europe
Albania	1962	1728137	2312.888958	64.82	Europe
Albania	1967	1984060	2760.196931	66.22	Europe
Albania	1972	2263554	3313.422188	67.69	Europe
Albania	1977	2509048	3533.00391	68.93	Europe
Albania	1982	2780097	3630.880722	70.42	Europe
Albania	1987	3075321	3738.932735	72	Europe
Albania	1992	3326498	2497.437901	71.581	Europe
Albania	1997	3428038	3193.054604	72.95	Europe
Albania	2002	3508512	4604.211737	75.651	Europe
Albania	2007	3600523	5937.029526	76.423	Europe
Algeria	1952	9279525	2449.008185	43.077	Africa
Algeria	1957	10270856	3013.976023	45.685	Africa
Algeria	1962	11000948	2550.81688	48.303	Africa
Algeria	1967	12760499	3246.991771	51.407	Africa
Algeria	1972	14760787	4182.663766	54.518	Africa
Algeria	1977	17152804	4910.416756	58.014	Africa
Algeria	1982	20033753	5745.160213	61.368	Africa
Algeria	1987	23254956	5681.358539	65.799	Africa
Algeria	1992	26298373	5023.216647	67.744	Africa
Algeria	1997	29072015	4797.295051	69.152	Africa
Algeria	2002	31287142	5288.040382	70.994	Africa
Algeria	2007	33333216	6223.367465	72.301	Africa
Angola	1952	4232095	3520.610273	30.015	Africa
Angola	1957	4561361	3827.940465	31.999	Africa
Angola	1962	4826015	4269.276742	34	Africa
Angola	1967	5247469	5522.776375	35.985	Africa
Angola	1972	5894858	5473.288005	37.928	Africa
Angola	1977	6162675	3008.647355	39.483	Africa
Angola	1982	7016384	2756.953672	39.942	Africa
Angola	1987	7874230	2430.208311	39.906	Africa
Angola	1992	8735988	2627.845685	40.647	Africa
Angola	1997	9875024	2277.140884	40.963	Africa
Angola	2002	10866106	2773.287312	41.003	Africa
Angola	2007	12420476	4797.231267	42.731	Africa
Argentina	1952	17876956	5911.315053	62.485	Americas
Argentina	1957	19610538	6856.856212	64.399	Americas
Argentina	1962	21283783	7133.166023	65.142	Americas
Argentina	1967	22934225	8052.953021	65.634	Americas
Argentina	1972	24779799	9443.038526	67.065	Americas
Argentina	1977	26983828	10079.02674	68.481	Americas
Argentina	1982	29341374	8997.897412	69.942	Americas
Argentina	1987	31620918	9139.671389	70.774	Americas
Argentina	1992	33958947	9308.41871	71.868	Americas
Argentina	1997	36203463	10967.28195	73.275	Americas
Argentina	2002	38331121	8797.640716	74.34	Americas
Argentina	2007	40301927	12779.37964	75.32	Americas
Australia	1952	8691212	10039.59564	69.12	Oceania
Australia	1957	9712569	10949.64959	70.33	Oceania
Australia	1962	10794968	12217.22686	70.93	Oceania
Australia	1967	11872264	14526.12465	71.1	Oceania
Australia	1972	13177000	16788.62948	71.93	Oceania
Australia	1977	14074100	18334.19751	73.49	Oceania
Australia	1982	15184200	19477.00928	74.74	Oceania
Australia	1987	16257249	21888.88903	76.32	Oceania
Australia	1992	17481977	23424.76683	77.56	Oceania
Australia	1997	18565243	26997.93657	78.83	Oceania
Australia	2002	19546792	30687.75473	80.37	Oceania
Australia	2007	20434176	34435.36744	81.235	Oceania
Austria	1952	6927772	6137.076492	66.8	Europe
Austria	1957	6965860	8842.59803	67.48	Europe
Austria	1962	7129864	10750.72111	69.54	Europe
Austria	1967	7376998	12834.6024	70.14	Europe
Austria	1972	7544201	16661.6256	70.63	Europe
Austria	1977	7568430	19749.4223	72.17	Europe
Austria	1982	7574613	21597.08362	73.18	Europe
Austria	1987	7578903	23687.82607	74.94	Europe
Austria	1992	7914969	27042.01868	76.04	Europe
Austria	1997	8069876	29095.92066	77.51	Europe
Austria	2002	8148312	32417.60769	78.98	Europe
Austria	2007	8199783	36126.4927	79.829	Europe
Bahrain	1952	120447	9867.084765	50.939	Asia
Bahrain	1957	138655	11635.79945	53.832	Asia
Bahrain	1962	171863	12753.27514	56.923	Asia
Bahrain	1967	202182	14804.6727	59.923	Asia
Bahrain	1972	230800	18268.65839	63.3	Asia
Bahrain	1977	297410	19340.10196	65.593	Asia
Bahrain	1982	377967	19211.14731	69.052	Asia
Bahrain	1987	454612	18524.02406	70.75	Asia
Bahrain	1992	529491	19035.57917	72.601	Asia
Bahrain	1997	598561	20292.01679	73.925	Asia
Bahrain	2002	656397	23403.55927	74.795	Asia
Bahrain	2007	708573	29796.04834	75.635	Asia
Bangladesh	1952	46886859	684.2441716	37.484	Asia
Bangladesh	1957	51365468	661.6374577	39.348	Asia
Bangladesh	1962	56839289	686.3415538	41.216	Asia
